df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000325586568815557	1e-05	0.152708795352080	0.0316392970860426	0.106535209410375	0.0196280992150470	26
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000330039198892175	1e-05	0.152232644362291	0.0310862018266300	0.107926666275394	0.0197908736122581	27
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000334325998539182	1e-05	0.151768643968038	0.0305821576513745	0.109242652520869	0.0199486073462701	28
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000338447914398047	1e-05	0.151317701660298	0.0301226340196012	0.110487367173733	0.0201012136536932	29
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000342406486136709	1e-05	0.150880507146301	0.0297035310268235	0.111664765397908	0.0202486455133031	30
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000297056402720759	1e-05	0.154349970417687	0.0925774039114735	0.0272382300737095	0.0163371889255542	1
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000319297877074311	1e-05	0.155889194896435	0.0863151143768879	0.0330975126717157	0.0162181357280653	2
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000343061344332644	1e-05	0.157108589769305	0.0806497760619955	0.0386165673171905	0.0161543467280787	3
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000368445287122496	1e-05	0.158050067540291	0.0755234461171931	0.0438164978832309	0.0161380156960519	4
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000395554445921139	1e-05	0.158750755179816	0.0708838711043363	0.0487169771325510	0.0161622368977955	5
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000424500219064855	1e-05	0.159243508245934	0.0666839243322732	0.0533363541121399	0.0162209087420473	6
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000455401088307287	1e-05	0.159557371464682	0.0628810990831650	0.0576917526864201	0.0163086473946945	7
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000488383071542816	1e-05	0.159717991251062	0.0594370521629980	0.0617991619963150	0.0164207093455551	8
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000523580204413401	1e-05	0.159747985096372	0.0563171927650070	0.0656735195580810	0.0165529220159521	9
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000561135052627046	1e-05	0.159667272247872	0.0534903121345894	0.0693287876492961	0.0167016215873609	10
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000601199256933053	1e-05	0.159493369657403	0.0509282499742454	0.0727780235693172	0.0168635973142044	11
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000643934112823550	1e-05	0.159241656771617	0.0486055939321069	0.0760334443072015	0.0170360416583397	12
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000689511187163112	1e-05	0.158925612373224	0.0464994088822083	0.0791064861009719	0.0172165056497688	13
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000738112974089197	1e-05	0.158557026356136	0.0445889930328524	0.0820078593276816	0.0174028589383461	14
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000789933592675713	1e-05	0.158146189023826	0.0428556581948561	0.0847475991235410	0.0175932540554457	15
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000845179529011568	1e-05	0.157702060236344	0.0412825318074118	0.0873351120970032	0.0177860944532805	16
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000904070425515311	1e-05	0.157232420494234	0.0398543785587042	0.0897792194647830	0.0179800059333901	17
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.000966839920487422	1e-05	0.156744005834385	0.0385574396539353	0.0920881969109809	0.0181738111152293	18
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00103373654109328	1e-05	0.156242628221256	0.0373792879774197	0.0942698114424921	0.0183665066312256	19
0.15	0.85	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	0.00110502465317400	1e-05	0.155733282944666	0.0363086975700664	0.0963313554894274	0.0185572427665474	20
