df	dm	muf	mum	nfa	nfb	nma	nmb	u	m	sexes	patch_type	fec_or_mor	critical_b	c	r_ff	r_mf	r_fm	r_mm	age
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000431252040715216	1e-05	0.0220724891537883	0.119202163902534	0.0277030584130500	0.123690774738887	26
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000419407407453584	1e-05	0.0222307684813328	0.120686607555513	0.0269790841215582	0.122917576047273	27
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000408861317181173	1e-05	0.0223832988805539	0.122079721201637	0.0263182733144666	0.122169371537910	28
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000399427946404613	1e-05	0.0225300590711719	0.123387259527289	0.0257149063408450	0.121447043078461	29
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	FECUNDITY	0.000390954976578956	1e-05	0.0226710651645745	0.124614601577506	0.0251637969562628	0.120751165851128	30
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000234451640469171	1e-05	0.0185262569074100	0.0231421572389088	0.104982122475323	0.131138891020483	1
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000249384518571490	1e-05	0.0184271130251327	0.0307643384296458	0.0971464794901766	0.133112894405287	2
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000265261885217457	1e-05	0.0183841650821126	0.0378865636238089	0.0900453455778093	0.134611517839110	3
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000282143209547391	1e-05	0.0183890559306804	0.0445433156165096	0.0836084397796303	0.135700262359611	4
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000300091700766328	1e-05	0.0184344260642380	0.0507665465057371	0.0777723043908238	0.136436918128870	5
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000319174543317502	1e-05	0.0185138042752099	0.0565858764870725	0.0724796358718666	0.136872410530026	6
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000339463146840607	1e-05	0.0186215098137357	0.0620287759792968	0.0676786818135267	0.137051556807155	7
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000361033411844359	1e-05	0.0187525648635172	0.0671207325579127	0.0633226974052667	0.137013742507298	8
0.85	0.15	0.1	0.1	5.0	5.0	5.0	5.0	0.5	0.82	F	ALPHA	MORTALITY	-0.000383966012081328	1e-05	0.0189026162715777	0.0718854040371242	0.0593694555084154	0.136793526037395	9
